Name,Address,Telephone
EXCOM GROUP (P) Ltd,"Sixth Floor, Four Square Complex, Naxal,","977-1-4416941/43,,"
Ghar Gadi Nepal,"Lalitpur,","unknown,9801033880,"
EstateWheel.com,"Kupondole,","5522858,9801033880,"
MACHHAPUCHHRE CONSULTANCY PVT. LTD.,"BP Marg, Newroad, Pokhara-9, Nepal,","521622530522,9842285622,"
Nana Properties Pvt. Ltd.,"House no. 756 Lamtinga Marg, Baluwatar,","+01 444 37014429790,,"
Property 360 Nepal,"4 Square Complex Narayanchour Naxal,","01-4416943,,"
Nepal Non Destructive Testing,"Balaju,Kathmandu,","9843009827,9843009827,"
Nepal Property Services (NEPROSE),"Namuna Marga, Hanuman Nagar, Birtamod 1, Jhapa,","023546089,9852646089,"
PropNepal,"Kalanki,","9861532963,9861532963,"
Casa Deyra,"Tanka Prasad Marg, Old Baneshwor Height Kathmandu, Nepal.,","+977 01 4478817,,"
Basobaas.com,"Bagmati,","+9779851143935,,"
Next Properties,"Bagmati,","+977 9851316348,,"
